Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
519873,617021,2023.06.20 12:34:59,buy,xauusd,0.01,1949.61,2023.06.29 13:31:11,1893.04,0,0,0,-2.25,-56.57,-5657,so: 28.8%/2.6/8.9
520018,14628658,2023.06.20 13:11:48,buy,xauusd,0.15,1941.82,2023.06.29 13:48:51,1895.7,0,0,0,0,-691.8,-4612,
520983,2236549,2023.06.21 10:27:11,buy,xauusd,0.01,1934.21,2023.06.29 10:27:32,1906.05,0,0,0,-2.05,-28.16,-2816,
523433,14629293,2023.06.23 11:03:45,buy,usdchf,0.02,0.89951,2023.06.29 13:40:15,0.89955,0,0,0,0,0.09,4,
524319,1998457,2023.06.25 22:16:53,buy,usousd,0.15,70.112,2023.06.29 11:16:44,69.924,0,0,0,-4.77,-28.2,-188,to #528489
524381,310914,2023.06.25 23:48:09,buy,usdchf,0.07,0.89591,2023.06.29 06:30:25,0.89853,0,0,0,0,20.41,262,
524394,1998457,2023.06.26 00:08:59,buy,usousd,0.05,69.813,2023.06.29 08:58:42,69.865,0,0,0,-1.59,2.6,52,
524433,120185,2023.06.26 01:31:26,buy,usousd,0.1,69.682,2023.06.29 15:12:11,69.772,0,0,0,-3.18,9,90,
525118,14628951,2023.06.27 14:15:36,buy,xauusd,0.1,1914.95,2023.06.29 12:36:59,1898.81,0,0,0,0,-161.4,-1614,[sl]
525809,14628866,2023.06.27 06:16:15,buy,eurjpy,0.01,156.872,2023.06.29 08:17:33,157.402,0,0,0,0,3.67,530,
525812,14628866,2023.06.27 06:19:34,buy,eurjpy,0.01,156.893,2023.06.29 08:17:28,157.401,0,0,0,0,3.52,508,
525814,14628866,2023.06.27 06:19:59,buy,usdjpy,0.01,143.633,2023.06.29 08:17:24,144.191,0,0,0,0,3.87,558,
525864,125630,2023.06.27 07:18:11,buy,usousd,0.05,69.948,2023.06.29 14:02:45,70.3,0,0,0,-1.06,17.6,352,[tp]
525930,14628866,2023.06.27 08:26:26,buy,eurjpy,0.01,157.198,2023.06.29 08:17:21,157.406,0,0,0,0,1.44,208,
526034,120185,2023.06.27 09:47:06,buy,gbpaud,0.05,1.90095,2023.06.29 14:45:39,1.90411,0,0,0,0,10.46,316,
526255,14629180,2023.06.27 12:31:55,buy,xauusd,0.3,1928.61,2023.06.29 13:05:29,1897.72,0,0,0,0,-926.7,-3089,
526396,2443087,2023.06.27 13:47:46,buy,xauusd,0.22,1927.17,2023.06.29 12:53:27,1896.82,0,0,0,0,-667.7,-3035,so: 29.9%/293.3/981.9
526416,14629180,2023.06.27 13:58:12,buy,xauusd,0.5,1923.96,2023.06.29 13:05:13,1897.55,0,0,0,0,-1320.5,-2641,
526438,126039,2023.06.27 14:02:40,buy,xauusd,0.1,1919.27,2023.06.29 14:13:10,1908.06,0,0,0,0,-112.1,-1121,
526448,14629613,2023.06.27 14:04:56,buy,xauusd,0.01,1918.29,2023.06.29 14:17:26,1909.11,0,0,0,0,-9.18,-918,
526450,340621,2023.06.27 14:04:56,buy,xauusd,0.38,1918.29,2023.06.29 14:17:26,1909.16,0,0,0,0,-346.94,-913,
526451,2443087,2023.06.27 14:04:56,buy,xauusd,0.15,1918.29,2023.06.29 14:17:26,1909.16,0,0,0,0,-136.95,-913,
526550,465272,2023.06.27 14:30:11,buy,xauusd,0.07,1918.52,2023.06.29 12:34:02,1901.42,0,0,0,-5.77,-119.7,-1710,
526555,14629180,2023.06.27 14:32:17,buy,xauusd,0.5,1919.58,2023.06.29 13:05:23,1897.51,0,0,0,0,-1103.5,-2207,
526567,14629293,2023.06.27 14:34:47,buy,ukousd,0.01,74.292,2023.06.29 10:30:14,74.298,0,0,0,-0.32,0.06,6,
526568,2012766,2023.06.28 10:28:25,buy,xauusd,0.1,1906.47,2023.06.29 14:12:41,1907.8,0,0,0,-6.19,13.3,133,
526571,1144158,2023.06.28 10:28:25,buy,xauusd,0.05,1906.47,2023.06.29 14:12:49,1908.19,0,0,0,-3.09,8.6,172,
526586,465272,2023.06.28 10:28:25,buy,xauusd,0.07,1906.47,2023.06.29 12:34:07,1901.46,0,0,0,-4.33,-35.07,-501,
526587,14628866,2023.06.27 14:47:11,buy,usdchf,0.01,0.89652,2023.06.29 08:17:17,0.89716,0,0,0,0,0.71,64,
526632,310914,2023.06.27 15:04:05,buy,usdjpy,0.05,144.106,2023.06.29 12:38:40,144.639,0,0,0,0,18.43,533,
526776,14628606,2023.06.27 17:05:48,buy,xauusd,0.02,1915.2,2023.06.29 14:15:33,1910.42,0,0,0,0,-9.56,-478,
526860,1998457,2023.06.25 22:16:07,buy,usousd,0.1,69.99,2023.06.29 15:23:16,69.033,0,0,0,-3.18,-95.7,-957,from #524318
526899,2446019,2023.06.27 20:48:29,buy,audnzd,0.01,1.08525,2023.06.29 20:15:37,1.09054,0,0,0,-0.29,3.21,529,
526902,2446019,2023.06.27 20:48:35,buy,euraud,0.01,1.63939,2023.06.29 20:15:40,1.64188,0,0,0,-0.2,1.65,249,
526931,2249396,2023.06.27 22:39:24,buy,xauusd,0.05,1915.45,2023.06.29 12:35:26,1899.94,0,0,0,-4.12,-77.55,-1551,[sl]
