Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,4000,0,0,12077.26,0,0,12077.26,0,12077.26
2023.06.29,4001,0,0,0,0,0,0,0,0
2023.06.29,4002,0,0,10861.52,0,-1993,8868.52,1609.4,7259.11
2023.06.29,4003,0,0,0,0,0,0,0,0
2023.06.29,4007,0,0,0,0,0,0,0,0
2023.06.29,5001,0,0,0,0,0,0,0,0
2023.06.29,5002,0,0,0,0,0,0,0,0
2023.06.29,6666,0,0,10124.18,0,0,10124.18,0,10124.18
2023.06.29,10001,0,0,60.59,0,0,60.59,0,60.59
2023.06.29,11111,0,0,894056.72,0,0,894056.72,0,894056.72
2023.06.29,120002,0,0,1,0,0,1,0,1
2023.06.29,120003,0,0,0.59,0,0,0.59,0,0.59
2023.06.29,120005,0,0,0,0,0,0,0,0
2023.06.29,120006,0,0,0,0,0,0,0,0
2023.06.29,120007,0,0,0,0,0,0,0,0
2023.06.29,120008,0,0,0,0,0,0,0,0
2023.06.29,120009,0,0,16.17,0,0,16.17,0,16.17
2023.06.29,120010,0,0,0.36,0,0,0.36,0,0.36
2023.06.29,120011,0,0,0,0,0,0,0,0
2023.06.29,120013,0,0,0,0,0,0,0,0
2023.06.29,120017,0,0,0,0,0,0,0,0
2023.06.29,120019,0,0,0,0,0,0,0,0
2023.06.29,120020,0,0,3.69,0,0,3.69,0,3.69
2023.06.29,120021,0,0,0,0,0,0,0,0
2023.06.29,120022,0,0,0,0,0,0,0,0
2023.06.29,120023,0,0,324.65,0,0,324.65,0,324.65
2023.06.29,120024,0,0,909.46,0,0,909.46,0,909.46
2023.06.29,120026,0,0,0,0,0,0,0,0
2023.06.29,120028,0,0,0,0,0,0,0,0
2023.06.29,120032,0,0,0,0,0,0,0,0
2023.06.29,120033,0,0,289.45,0,-65.74,223.71,4,219.71
2023.06.29,120035,0,0,0,0,0,0,0,0
2023.06.29,120036,0,0,0,0,0,0,0,0
2023.06.29,120037,0,0,0.71,0,0,0.71,0,0.71
2023.06.29,120038,0,0,4.73,0,0,4.73,0,4.73
2023.06.29,120039,0,0,0,0,0,0,0,0
2023.06.29,120040,0,0,0,0,0,0,0,0
2023.06.29,120041,0,0,0,0,0,0,0,0
2023.06.29,120042,0,0,0,0,0,0,0,0
2023.06.29,120043,0,0,0,0,0,0,0,0
2023.06.29,120044,0,0,1.92,0,0,1.92,0,1.92
2023.06.29,120045,0,0,0,0,0,0,0,0
2023.06.29,120046,0,0,0.81,0,0,0.81,0,0.81
2023.06.29,120047,0,0,0,0,0,0,0,0
2023.06.29,120048,0,0,0,0,0,0,0,0
2023.06.29,120049,0,0,1,0,0,1,0,1
