Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.28,4000,0,0,12077.26,0,0,12077.26,0,12077.26
2023.06.28,4001,0,0,0,0,0,0,0,0
2023.06.28,4002,0,0,10861.52,0,-2720.36,8141.16,1609.4,6531.75
2023.06.28,4003,0,0,0,0,0,0,0,0
2023.06.28,4007,0,0,0,0,0,0,0,0
2023.06.28,5001,0,0,0,0,0,0,0,0
2023.06.28,5002,0,0,0,0,0,0,0,0
2023.06.28,6666,0,0,10124.18,0,0,10124.18,0,10124.18
2023.06.28,10001,0,0,60.59,0,0,60.59,0,60.59
2023.06.28,11111,0,0,894056.72,0,0,894056.72,0,894056.72
2023.06.28,120002,0,0,1,0,0,1,0,1
2023.06.28,120003,0,0,0.59,0,0,0.59,0,0.59
2023.06.28,120005,0,0,0,0,0,0,0,0
2023.06.28,120006,0,0,0,0,0,0,0,0
2023.06.28,120007,0,0,0,0,0,0,0,0
2023.06.28,120008,0,0,0,0,0,0,0,0
2023.06.28,120009,0,0,16.17,0,0,16.17,0,16.17
2023.06.28,120010,0,0,0.36,0,0,0.36,0,0.36
2023.06.28,120011,0,0,0,0,0,0,0,0
2023.06.28,120013,0,0,0,0,0,0,0,0
2023.06.28,120017,0,0,0,0,0,0,0,0
2023.06.28,120019,0,0,0,0,0,0,0,0
2023.06.28,120020,0,0,3.69,0,0,3.69,0,3.69
2023.06.28,120021,0,0,0,0,0,0,0,0
2023.06.28,120022,0,0,0,0,0,0,0,0
2023.06.28,120023,0,0,324.65,0,0,324.65,0,324.65
2023.06.28,120024,0,0,909.46,0,0,909.46,0,909.46
2023.06.28,120026,0,0,0,0,0,0,0,0
2023.06.28,120028,0,0,0,0,0,0,0,0
2023.06.28,120032,0,0,0,0,0,0,0,0
2023.06.28,120033,0,0,289.45,0,-60.27,229.18,4,225.18
2023.06.28,120035,0,0,0,0,0,0,0,0
2023.06.28,120036,0,0,0,0,0,0,0,0
2023.06.28,120037,0,0,0.71,0,0,0.71,0,0.71
2023.06.28,120038,0,0,4.73,0,0,4.73,0,4.73
2023.06.28,120039,0,0,0,0,0,0,0,0
2023.06.28,120040,0,0,0,0,0,0,0,0
2023.06.28,120041,0,0,0,0,0,0,0,0
